radix,infinitve,1.pers-singular-präsens,2.pers-singular-präsens,3.pers-singular-präsens,1.pers-singular-präteritum,partizip 2,1.pers-konjunktiv 2,imperativ-singular,imperativ-plural,hilfsverb
verlöt,verlöten,verlöte,verlötest,verlötet,verlötete,verlötet,verlötete,verlöte,verlötet,haben
anbändel,anbändeln,bändele an,bändelst an,bändelt an,bändelte an,angebändelt,bändelte an,bändele an,bändelt an,haben
aufschieb,aufschieben,schiebe auf,schiebst auf,schiebt auf,schob auf,aufgeschoben,schöbe auf,schieb auf,schiebt auf,haben
minimier,minimieren,minimiere,minimierst,minimiert,minimierte,minimiert,minimierte,minimier,minimiert,haben
anhimmel,anhimmeln,himmle an,himmelst an,himmelt an,himmelte an,angehimmelt,himmelte an,himmle an,himmelt an,haben
veracht,verachten,verachte,verachtest,verachtet,verachtete,verachtet,verachtete,verachte,verachtet,haben
zuflüster,zuflüstern,flüstere zu,flüsterst zu,flüstert zu,flüsterte zu,zugeflüstert,flüsterte zu,flüstere zu,flüstert zu,haben
anbandel,anbandeln,bandele an,bandelst an,bandelt an,bandelte an,angebandelt,bandelte an,bandle an,bandelt an,haben
warmhalt,warmhalten,halte warm,hältst warm,hält warm,hielt warm,warmgehalten,hielte warm,halte warm,haltet warm,haben
deglacier,deglacieren,deglaciere,deglacierst,deglaciert,deglacierte,deglaciert,deglacierte,deglacier,deglaciert,haben
theoretisier,theoretisieren,theoretisiere,theoretisierst,theoretisiert,theoretisierte,theoretisiert,theoretisierte,theoretisiere,theoretisiert,haben
wriggel,wriggeln,wriggele,wriggelst,wriggelt,wriggelte,gewriggelt,wriggelte,wriggele,wriggelt,haben
inspizier,inspizieren,inspiziere,inspizierst,inspiziert,inspizierte,inspiziert,inspizierte,inspizier,inspiziert,haben
kartographier,kartographieren,kartographiere,kartographierst,kartographiert,kartographierte,kartographiert,kartographierte,kartographiere,kartographiert,haben
missionier,missionieren,missioniere,missionierst,missioniert,missionierte,missioniert,missionierte,missioniere,missioniert,haben
zustell,zustellen,stelle zu,stellst zu,stellt zu,stellte zu,zugestellt,stellte zu,stell zu,stellt zu,haben
lobsing,lobsingen,lobsinge,lobsingst,lobsingt,lobsang,lobgesungen,lobsänge,lobsinge,lobsingt,haben
kurzweil,kurzweilen,kurzweile,kurzweilst,kurzweilt,kurzweilte,gekurzweilt,kurzweilte,kurzweile,kurzweilt,haben
überstrapazier,überstrapazieren,überstrapaziere,überstrapazierst,überstrapaziert,überstrapazierte,überstrapaziert,überstrapazierte,überstrapaziere,überstrapaziert,haben
niederkni,niederknien,knie nieder,kniest nieder,kniet nieder,kniete nieder,niedergekniet,kniete nieder,knie nieder,kniet nieder,haben
einschreit,einschreiten,schreite ein,schreitest ein,schreitet ein,schritt ein,eingeschritten,schritte ein,schreit ein,schreitet ein,sein
erforsch,erforschen,erforsche,erforschst,erforscht,erforschte,erforscht,erforschte,erforsche,erforscht,haben
strahl,strahlen,strahle,strahlst,strahlt,strahlte,gestrahlt,strahlte,strahl,strahlt,haben
zück,zücken,zücke,zückst,zückt,zückte,gezückt,zückte,zücke,zückt,haben
einleg,einlegen,lege ein,legst ein,legt ein,legte ein,eingelegt,legte ein,leg ein,legt ein,haben
veröffentlich,veröffentlichen,veröffentliche,veröffentlichst,veröffentlicht,veröffentlichte,veröffentlicht,veröffentlichte,veröffentlich,veröffentlicht,haben
eindeck,eindecken,decke ein,deckst ein,deckt ein,deckte ein,eingedeckt,deckte ein,deck ein,deckt ein,haben
