lemma,nominativ-singular
Abart,Abart
Abart,
Abartigkeit,Abartigkeit
Abartung,Abartung
Abasa,
Abashiri,
Abasi,
Abasie,Abasie
Abasinisch,
Abate,Abate
Abate,Abate
Abate,
Abatis,
Abatjour,Abatjour
Abaton,Abaton
Abba,
Abbadon,Abbadon
Abbaggerung,Abbaggerung
Abbas,
Abbaside,Abbaside
Abbate,Abbate
Abbau,Abbau
Abbauantrag,Abbauantrag
Abbaubarkeit,Abbaubarkeit
Abbauerscheinung,Abbauerscheinung
Abbaufeld,Abbaufeld
Abbaugerechtigkeit,Abbaugerechtigkeit
Abbaugerät,Abbaugerät
Abbauintoxikation,Abbauintoxikation
Abbauprodukt,Abbauprodukt
Abbauprozess,Abbauprozess
Abbaurecht,Abbaurecht
Abbaustelle,Abbaustelle
Abbauvermögen,Abbauvermögen
Abbauwürdigkeit,Abbauwürdigkeit
Abbedingung,Abbedingung
Abbeizmittel,Abbeizmittel
Abbelkrotze,dä Abbelkrotze
Abbenhaus,
Abbenseth,
Abberstung,Abberstung
Abberufung,Abberufung
Abberufungsantrag,Abberufungsantrag
Abbestellung,Abbestellung
Abbevillien,Abbevillien
Abbezahlung,Abbezahlung
Abbiegelicht,Abbiegelicht
Abbiegespur,Abbiegespur
Abbiegung,Abbiegung
Abbild,Abbild
Abbilden,Abbilden
Abbildung,Abbildung
Abbildungsfehler,Abbildungsfehler
Abbildungsfreiheit,Abbildungsfreiheit
Abbildungsmaßstab,Abbildungsmaßstab
Abbindung,Abbindung
Abbink,
Abbiss,Abbiss
Abbitte,Abbitte
Abblasedruck,Abblasedruck
Abblaseventil,Abblaseventil
Abblasung,Abblasung
Abblasventil,Abblasventil
Abblendautomatik,Abblendautomatik
Abblendlicht,Abblendlicht
Abblendschalter,Abblendschalter
Abbo,
Abbozzo,Abbozzo
Abbrand,Abbrand
Abbrandler,Abbrandler
Abbrecher,Abbrecher
Abbrecherin,Abbrecherin
Abbreviation,Abbreviation
Abbreviator,Abbreviator
Abbreviatur,Abbreviatur
Abbruch,Abbruch
Abbrucharbeit,Abbrucharbeit
Abbruchbedingung,Abbruchbedingung
Abbruchbescheid,Abbruchbescheid
Abbruchbirne,Abbruchbirne
Abbruchblutung,Abbruchblutung
Abbruchfirma,Abbruchfirma
Abbruchgenehmigung,Abbruchgenehmigung
Abbruchhammer,Abbruchhammer
Abbruchhaus,Abbruchhaus
Abbruchholz,Abbruchholz
Abbruchkante,Abbruchkante
Abbruchmaterial,Abbruchmaterial
Abbruchobjekt,Abbruchobjekt
Abbruchreaktion,Abbruchreaktion
Abbruchsgenehmigung,Abbruchsgenehmigung
Abbruchsieg,Abbruchsieg
Abbruchstein,Abbruchstein
Abbruchstelle,Abbruchstelle
Abbt,
Abbuchung,Abbuchung
Abbuchungsauftrag,Abbuchungsauftrag
Abbé,Abbé
Abbé,
Abbüßung,Abbüßung
Abc,Abc
Abc-Buch,Abc-Buch
Abc-Code,Abc-Code
Abc-Kode,Abc-Kode
Abc-Schütze,Abc-Schütze
Abc-Schützin,Abc-Schützin
Abcdarier,Abcdarier
Abcdarium,Abcdarium
Abcdarius,Abcdarius
Abchase,Abchase
Abchasien,
Abchasin,Abchasin
Abchasisch,
Abciximab,Abciximab
Abda,
Abdach,Abdach
Abdampf,Abdampf
Abdampfen,Abdampfen
Abdankung,Abdankung
Abdarbung,Abdarbung
Abdasseler,Abdasseler
Abdasselung,Abdasselung
Abdassler,Abdassler
Abdasslung,Abdasslung
Abdeck-Aufdecktest,Abdeck-Aufdecktest
Abdeckband,Abdeckband
Abdeckblech,Abdeckblech
Abdeckcreme,Abdeckcreme
Abdecker,Abdecker
Abdeckerei,Abdeckerei
Abdeckerin,Abdeckerin
Abdeckfarbe,Abdeckfarbe
Abdeckmaterial,Abdeckmaterial
Abdeckplane,Abdeckplane
Abdeckplatte,Abdeckplatte
Abdecktest,Abdecktest
Abdeckung,Abdeckung
Abdeel,
Abderhalden,
Abderit,Abderit
Abdestillation,Abdestillation
Abdi,
Abdichtung,Abdichtung
Abdikation,Abdikation
Abdingbarkeit,Abdingbarkeit
Abdisposition,Abdisposition
Abditorium,Abditorium
Abdiël,
Abdomen,Abdomen
Abdominalgravidität,Abdominalgravidität
Abdominalhernie,Abdominalhernie
Abdominoskopie,Abdominoskopie
Abdon,
Abdrehen,Abdrehen
Abdrift,Abdrift
Abdrosselung,Abdrosselung
Abdrosslung,Abdrosslung
Abdruck,Abdruck
Abducens,Abducens
Abduktion,Abduktion
Abduktor,Abduktor
Abduzens,Abduzens
Abduzenslähmung,Abduzenslähmung
Abece,Abece
Abecebuch,Abecebuch
Abecedarier,Abecedarier
Abecedarium,Abecedarium
Abecedarius,Abecedarius
Abednego,
Abee,
Abel,
Abel,
Abel,
Abele,
Abelespiele,
Abelia,
Abelie,Abelie
Abelmoschus,Abelmoschus
Abenaki,Abenaki
Abenaki,Abenaki
Abenberg,
Abend,Abend
Abend,
Abend,
Abend-Make-up,Abend-Make-up
Abendakademie,Abendakademie
Abendandacht,Abendandacht
Abendanfrage,Abendanfrage
Abendanzug,Abendanzug
Abendausgabe,Abendausgabe
Abendblatt,Abendblatt
Abendbrot,Abendbrot
Abendbrottisch,Abendbrottisch
Abendbrotzeit,Abendbrotzeit
Abendbummel,Abendbummel
Abenddämmerung,Abenddämmerung
Abendempfang,Abendempfang
Abendessen,Abendessen
Abendessenszeit,Abendessenszeit
Abendfriede,Abendfriede
Abendfrieden,Abendfrieden
Abendgarderobe,Abendgarderobe
Abendgebet,Abendgebet
Abendgesellschaft,Abendgesellschaft
