lemma,word,type
Aarhus,,noun
Aaron,,noun
Aaron,,noun
Aarskog-Syndrom,Aarskog-Syndrom,noun
Aarweihe,,noun
Aas,Aas,noun
Aas,,noun
Aasbande,Aasbande,noun
Aasblatter,Aasblatter,noun
Aasblume,Aasblume,noun
Aase-Syndrom,Aase-Syndrom,noun
Aasee,Aasee,noun
Aaser,Aaser,noun
Aasfliege,Aasfliege,noun
Aasfresser,Aasfresser,noun
Aasgeier,Aasgeier,noun
Aasgeld,Aasgeld,noun
Aasgeruch,Aasgeruch,noun
Aasgestank,Aasgestank,noun
Aasinsekt,Aasinsekt,noun
Aasjagd,Aasjagd,noun
Aasjäger,Aasjäger,noun
Aasjägerei,Aasjägerei,noun
Aaskrähe,Aaskrähe,noun
Aaskäfer,Aaskäfer,noun
Aaspocke,Aaspocke,noun
Aasseite,Aasseite,noun
Aast,Aast,noun
Aasvogel,Aasvogel,noun
Aasvogel,Aasvogel,noun
Aba,,noun
Aba,,noun
Aba,,noun
Aba,,noun
Abaca,Abaca,noun
Abachi,Abachi,noun
Abachum,,noun
Abadan,,noun
Abaddon,Abaddon,noun
Abade,Abade,noun
Abadie-Zeichen,Abadie-Zeichen,noun
Abagta,,noun
Abagtha,,noun
Abaisse,Abaisse,noun
Abaka,Abaka,noun
Abakan,Abakan,noun
Abakan,,noun
Abakus,Abakus,noun
Abakus,,noun
Abalienation,Abalienation,noun
Abalone,Abalone,noun
Abalone,Abalone,noun
Abandon,Abandon,noun
Abandonnement,Abandonnement,noun
Abarbeitung,Abarbeitung,noun
Abarbeitung,Abarbeitung,noun
Abarbeitungsgeschwindigkeit,Abarbeitungsgeschwindigkeit,noun
Abart,Abart,noun
Abart,,noun
Abartigkeit,Abartigkeit,noun
Abartung,Abartung,noun
Abasa,,noun
Abashiri,,noun
Abasi,,noun
Abasie,Abasie,noun
Abasinisch,,noun
Abate,Abate,noun
Abate,Abate,noun
Abate,,noun
Abatis,,noun
Abatjour,Abatjour,noun
Abaton,Abaton,noun
Abba,,noun
Abbadon,Abbadon,noun
Abbaggerung,Abbaggerung,noun
Abbas,,noun
Abbaside,Abbaside,noun
Abbate,Abbate,noun
Abbau,Abbau,noun
Abbauantrag,Abbauantrag,noun
Abbaubarkeit,Abbaubarkeit,noun
Abbauerscheinung,Abbauerscheinung,noun
Abbaufeld,Abbaufeld,noun
Abbaugerechtigkeit,Abbaugerechtigkeit,noun
Abbaugerät,Abbaugerät,noun
Abbauintoxikation,Abbauintoxikation,noun
Abbauprodukt,Abbauprodukt,noun
Abbauprozess,Abbauprozess,noun
Abbaurecht,Abbaurecht,noun
Abbaustelle,Abbaustelle,noun
Abbauvermögen,Abbauvermögen,noun
Abbauwürdigkeit,Abbauwürdigkeit,noun
Abbedingung,Abbedingung,noun
Abbeizmittel,Abbeizmittel,noun
Abbelkrotze,dä Abbelkrotze,noun
Abbenhaus,,noun
Abbenseth,,noun
Abberstung,Abberstung,noun
Abberufung,Abberufung,noun
Abberufungsantrag,Abberufungsantrag,noun
Abbestellung,Abbestellung,noun
Abbevillien,Abbevillien,noun
Abbezahlung,Abbezahlung,noun
Abbiegelicht,Abbiegelicht,noun
Abbiegespur,Abbiegespur,noun
Abbiegung,Abbiegung,noun
Abbild,Abbild,noun
Abbilden,Abbilden,noun
Abbildung,Abbildung,noun
Abbildungsfehler,Abbildungsfehler,noun
Abbildungsfreiheit,Abbildungsfreiheit,noun
Abbildungsmaßstab,Abbildungsmaßstab,noun
Abbindung,Abbindung,noun
Abbink,,noun
Abbiss,Abbiss,noun
Abbitte,Abbitte,noun
Abblasedruck,Abblasedruck,noun
Abblaseventil,Abblaseventil,noun
Abblasung,Abblasung,noun
Abblasventil,Abblasventil,noun
Abblendautomatik,Abblendautomatik,noun
Abblendlicht,Abblendlicht,noun
Abblendschalter,Abblendschalter,noun
Abbo,,noun
Abbozzo,Abbozzo,noun
Abbrand,Abbrand,noun
Abbrandler,Abbrandler,noun
Abbrecher,Abbrecher,noun
Abbrecherin,Abbrecherin,noun
Abbreviation,Abbreviation,noun
Abbreviator,Abbreviator,noun
Abbreviatur,Abbreviatur,noun
Abbruch,Abbruch,noun
Abbrucharbeit,Abbrucharbeit,noun
Abbruchbedingung,Abbruchbedingung,noun
Abbruchbescheid,Abbruchbescheid,noun
Abbruchbirne,Abbruchbirne,noun
Abbruchblutung,Abbruchblutung,noun
Abbruchfirma,Abbruchfirma,noun
Abbruchgenehmigung,Abbruchgenehmigung,noun
Abbruchhammer,Abbruchhammer,noun
Abbruchhaus,Abbruchhaus,noun
Abbruchholz,Abbruchholz,noun
Abbruchkante,Abbruchkante,noun
